                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                0.69051,                 0.4771,                0.90798,                0.96591,                0.97436,                0.98711,                0.82163,                0.77782,                0.53415,                 1.0976,              0.0091948,              0.0091948,              0.0091948
                    124,                0.69686,                 0.4821,                0.89836,                0.97102,                0.97436,                0.98774,                0.83915,                0.70296,                0.52324,                  1.026,              0.0091882,              0.0091882,              0.0091882
                    125,                0.68108,                0.47371,                0.89833,                0.97345,                0.97516,                0.99184,                0.83657,                0.74301,                0.54658,                  1.052,              0.0091816,              0.0091816,              0.0091816
                    126,                0.70151,                0.48161,                0.90852,                0.97141,                0.98008,                 0.9895,                0.84283,                0.71077,                0.50563,                 1.0249,               0.009175,               0.009175,               0.009175
                    127,                0.69418,                0.48836,                0.91633,                0.98059,                0.97135,                0.99109,                0.83627,                0.74106,                0.53426,                 1.0395,              0.0091684,              0.0091684,              0.0091684
                    128,                0.67461,                0.47434,                0.90234,                0.96989,                0.98091,                0.99046,                0.83186,                0.72556,                0.50109,                  1.053,              0.0091618,              0.0091618,              0.0091618
                    129,                0.67309,                0.46839,                0.89861,                0.96942,                0.97516,                0.98828,                0.82929,                0.75233,                0.51774,                 1.0756,              0.0091552,              0.0091552,              0.0091552
                    130,                0.66175,                0.46506,                0.90377,                0.97829,                0.97506,                0.98922,                0.83731,                0.73351,                0.50261,                 1.0472,              0.0091486,              0.0091486,              0.0091486
                    131,                0.69167,                0.46982,                0.90701,                0.97599,                0.97917,                0.98595,                0.83999,                0.72866,                0.51344,                 1.0748,               0.009142,               0.009142,               0.009142
                    132,                0.65436,                0.46046,                0.89447,                0.97666,                0.97917,                0.98841,                0.84362,                0.67651,                0.49756,                 1.0159,              0.0091354,              0.0091354,              0.0091354
                    133,                0.66946,                0.46737,                0.89642,                0.97515,                 0.9749,                0.98808,                0.83933,                0.75337,                0.49961,                  1.077,              0.0091288,              0.0091288,              0.0091288
