                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.61506,                0.38622,                0.82352,                0.98795,                      1,                0.99489,                0.90273,                0.49116,                0.35342,                0.81392,              0.0014208,              0.0014208,              0.0014208
                    119,                 0.6261,                0.40224,                0.82622,                0.98795,                      1,                0.99489,                0.90273,                0.49116,                0.35342,                0.81392,              0.0014159,              0.0014159,              0.0014159
                    120,                0.59406,                0.40229,                0.83109,                0.98891,                      1,                0.99489,                0.89388,                0.49682,                 0.3586,                0.81274,               0.001411,               0.001411,               0.001411
                    121,                0.56046,                0.37373,                0.81245,                0.98891,                      1,                0.99489,                0.89388,                0.49682,                 0.3586,                0.81274,               0.001406,               0.001406,               0.001406
                    122,                0.64411,                0.39868,                0.82979,                0.98927,                      1,                0.99489,                0.88252,                0.51344,                0.35198,                0.81435,              0.0014011,              0.0014011,              0.0014011
                    123,                0.63554,                0.42876,                0.83936,                0.98927,                      1,                0.99489,                0.88252,                0.51344,                0.35198,                0.81435,              0.0013961,              0.0013961,              0.0013961
                    124,                0.65964,                0.40869,                 0.8521,                0.98817,                      1,                0.99489,                 0.8821,                 0.5166,                0.34327,                0.81571,              0.0013912,              0.0013912,              0.0013912
                    125,                0.65191,                0.38211,                0.83162,                0.98817,                      1,                0.99489,                 0.8821,                 0.5166,                0.34327,                0.81571,              0.0013862,              0.0013862,              0.0013862
                    126,                0.62571,                0.40022,                 0.8292,                      1,                0.99974,                  0.995,                0.88386,                0.51649,                0.33659,                0.81707,              0.0013813,              0.0013813,              0.0013813
                    127,                0.59451,                0.37906,                0.82538,                      1,                0.99974,                  0.995,                0.88386,                0.51649,                0.33659,                0.81707,              0.0013763,              0.0013763,              0.0013763
