                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.55137,                0.35596,                0.85965,                0.99088,                0.99125,                0.99465,                 0.9137,                0.47191,                0.30312,                0.80244,              0.0015446,              0.0015446,              0.0015446
                     94,                0.52515,                0.34522,                0.85084,                0.99279,                0.99125,                0.99476,                0.91558,                0.45862,                0.29839,                0.79873,              0.0015397,              0.0015397,              0.0015397
                     95,                0.56735,                0.35792,                0.84835,                0.99213,                0.99224,                0.99491,                0.91433,                0.47038,                0.29655,                0.79856,              0.0015347,              0.0015347,              0.0015347
                     96,                0.56558,                0.35521,                0.85189,                0.99473,                0.98993,                0.99483,                0.91525,                0.45715,                0.29451,                0.79817,              0.0015298,              0.0015298,              0.0015298
                     97,                0.55664,                0.35795,                0.85296,                0.99179,                0.99388,                0.99438,                0.91743,                0.45613,                0.28973,                0.79849,              0.0015248,              0.0015248,              0.0015248
                     98,                0.53784,                0.34229,                0.85295,                0.98232,                0.98425,                0.99364,                0.90119,                0.48554,                  0.308,                0.80389,              0.0015199,              0.0015199,              0.0015199
                     99,                0.54907,                0.35009,                 0.8544,                 0.9947,                0.98487,                0.99444,                0.91898,                 0.4493,                0.29082,                0.79718,              0.0015149,              0.0015149,              0.0015149
                    100,                0.56501,                0.35322,                0.85092,                0.99502,                0.98338,                0.99476,                0.91865,                0.44512,                0.28453,                0.79665,              0.0015099,              0.0015099,              0.0015099
                    101,                0.56169,                0.34557,                0.85513,                0.99511,                0.98075,                0.99455,                0.91287,                0.46222,                 0.2875,                0.80571,               0.001505,               0.001505,               0.001505
                    102,                0.55453,                0.34758,                0.84511,                0.99392,                0.98513,                0.99468,                0.91736,                0.46125,                0.29158,                0.80472,              0.0015001,              0.0015001,              0.0015001
                    103,                0.54966,                0.34603,                0.84533,                0.99636,                0.98775,                0.99463,                0.91531,                0.45855,                0.28663,                0.80124,              0.0014951,              0.0014951,              0.0014951
                    104,                0.53194,                0.34303,                 0.8401,                0.99606,                  0.986,                0.99478,                0.92107,                0.43201,                0.28104,                0.79721,              0.0014901,              0.0014901,              0.0014901
                    105,                0.54926,                0.34627,                0.84791,                0.99478,                0.98513,                0.99462,                0.92474,                0.43974,                0.28771,                0.79906,              0.0014852,              0.0014852,              0.0014852
                    106,                0.52365,                0.33259,                0.84465,                0.99208,                 0.9859,                0.99469,                0.91881,                0.45179,                0.28764,                0.79897,              0.0014803,              0.0014803,              0.0014803
                    107,                0.52078,                0.33645,                0.84437,                0.99453,                0.98513,                0.99459,                0.92236,                0.44015,                0.28557,                0.79729,              0.0014753,              0.0014753,              0.0014753
                    108,                0.50579,                0.33098,                 0.8482,                0.99559,                0.98785,                0.99468,                0.92077,                0.43319,                0.28047,                0.79416,              0.0014703,              0.0014703,              0.0014703
                    109,                0.53277,                 0.3322,                0.83435,                0.99613,                0.98863,                0.99469,                0.92375,                0.44198,                0.28168,                0.79489,              0.0014654,              0.0014654,              0.0014654
                    110,                0.55253,                 0.3491,                0.85245,                0.99283,                0.98775,                0.99453,                0.92444,                0.42879,                0.28144,                 0.7933,              0.0014605,              0.0014605,              0.0014605
                    111,                 0.5561,                0.34955,                0.85718,                0.99471,                0.98752,                0.99462,                0.92495,                0.44426,                0.28213,                0.79619,              0.0014555,              0.0014555,              0.0014555
                    112,                0.51332,                0.32984,                0.84781,                0.99553,                0.98775,                0.99469,                0.91982,                0.45269,                0.27983,                0.79805,              0.0014505,              0.0014505,              0.0014505
                    113,                0.56064,                0.35328,                0.84864,                0.99646,                0.98461,                0.99474,                0.92041,                0.44887,                0.28507,                0.79995,              0.0014456,              0.0014456,              0.0014456
                    114,                0.53416,                0.33801,                0.84555,                0.99654,                0.98863,                0.99485,                 0.9236,                0.44158,                0.27937,                0.79724,              0.0014406,              0.0014406,              0.0014406
                    115,                0.53439,                 0.3429,                0.84905,                0.99884,                0.98775,                0.99469,                0.92828,                0.42956,                0.28323,                0.79365,              0.0014357,              0.0014357,              0.0014357
                    116,                0.52561,                0.33851,                0.84299,                0.99538,                0.98863,                0.99482,                0.92529,                0.43905,                0.27894,                0.79323,              0.0014307,              0.0014307,              0.0014307
                    117,                0.53239,                0.34011,                0.84423,                0.99363,                0.99388,                0.99485,                0.92979,                 0.4333,                0.27966,                 0.7935,              0.0014258,              0.0014258,              0.0014258
                    118,                0.54052,                0.34057,                0.85627,                0.99301,                0.99388,                0.99489,                0.92737,                 0.4347,                0.27983,                0.79309,              0.0014208,              0.0014208,              0.0014208
                    119,                0.53867,                0.34656,                0.85154,                0.99178,                0.99125,                0.99481,                0.92012,                0.44524,                0.28382,                0.79647,              0.0014159,              0.0014159,              0.0014159
                    120,                 0.5228,                0.33604,                0.85074,                0.99127,                  0.993,                0.99479,                0.92695,                0.42743,                0.28046,                0.79436,               0.001411,               0.001411,               0.001411
                    121,                0.51127,                0.33983,                0.84778,                0.99387,                0.98775,                0.99462,                0.92332,                0.42602,                0.28192,                0.79421,               0.001406,               0.001406,               0.001406
                    122,                0.50752,                0.32757,                0.85171,                0.99647,                0.98726,                0.99462,                0.92868,                0.42319,                 0.2745,                0.79323,              0.0014011,              0.0014011,              0.0014011
                    123,                0.53629,                0.34557,                0.84955,                0.99823,                0.98833,                0.99489,                0.92784,                0.43585,                0.27835,                0.79564,              0.0013961,              0.0013961,              0.0013961
                    124,                0.54047,                0.34424,                0.84358,                0.99705,                0.99213,                0.99487,                0.93364,                0.42356,                0.27695,                0.79416,              0.0013912,              0.0013912,              0.0013912
                    125,                0.56054,                0.34891,                0.86094,                0.99442,                0.98688,                 0.9946,                0.91241,                0.47949,                0.29609,                0.80288,              0.0013862,              0.0013862,              0.0013862
                    126,                0.52919,                0.33964,                 0.8556,                0.99121,                0.98634,                 0.9943,                0.91982,                0.45254,                 0.2971,                0.80102,              0.0013813,              0.0013813,              0.0013813
                    127,                0.52262,                0.33331,                 0.8489,                0.99466,                0.98775,                 0.9947,                0.92203,                0.44611,                0.27997,                0.79641,              0.0013763,              0.0013763,              0.0013763
                    128,                0.51355,                0.33684,                0.84568,                0.99615,                0.99213,                0.99489,                0.93104,                0.42344,                 0.2713,                0.79273,              0.0013714,              0.0013714,              0.0013714
                    129,                0.51021,                0.32961,                0.84827,                0.99386,                 0.9913,                0.99485,                0.93421,                0.41712,                0.26749,                0.79284,              0.0013664,              0.0013664,              0.0013664
                    130,                0.49202,                0.32558,                0.83599,                0.99261,                0.99125,                0.99484,                0.93205,                0.42149,                0.27254,                0.79304,              0.0013615,              0.0013615,              0.0013615
                    131,                0.50321,                0.32583,                0.85027,                0.99667,                0.98688,                0.99481,                0.93016,                0.43288,                 0.2739,                0.79567,              0.0013565,              0.0013565,              0.0013565
                    132,                0.51392,                 0.3275,                 0.8414,                 0.9929,                0.99213,                0.99486,                0.92156,                 0.4466,                0.27697,                0.79964,              0.0013515,              0.0013515,              0.0013515
                    133,                0.53085,                0.34044,                0.85927,                0.99752,                0.99038,                 0.9949,                 0.9252,                0.42745,                0.27187,                0.79623,              0.0013466,              0.0013466,              0.0013466
                    134,                0.50093,                0.32362,                0.83718,                0.99672,                0.99213,                0.99493,                0.93007,                0.42109,                0.27385,                0.79548,              0.0013417,              0.0013417,              0.0013417
                    135,                0.51136,                0.32459,                0.84179,                0.99824,                 0.9919,                0.99494,                0.93301,                 0.4163,                0.26156,                0.79326,              0.0013367,              0.0013367,              0.0013367
                    136,                0.51326,                0.33068,                0.85209,                0.99736,                 0.9917,                0.99493,                 0.9405,                 0.4056,                0.26116,                0.79008,              0.0013318,              0.0013318,              0.0013318
                    137,                0.48635,                0.31225,                 0.8341,                 0.9932,                0.99213,                0.99486,                0.93438,                 0.4145,                0.26288,                0.79256,              0.0013268,              0.0013268,              0.0013268
                    138,                 0.4959,                0.31911,                0.84199,                 0.9963,                0.98863,                0.99474,                0.92977,                0.42545,                0.26888,                 0.7916,              0.0013219,              0.0013219,              0.0013219
                    139,                0.52295,                0.32839,                0.83769,                0.99735,                0.98888,                0.99478,                0.93377,                0.40614,                0.26442,                0.78941,              0.0013169,              0.0013169,              0.0013169
                    140,                0.50543,                0.31759,                0.85179,                0.99735,                0.98659,                0.99479,                0.93491,                0.40996,                0.26264,                0.79072,               0.001312,               0.001312,               0.001312
                    141,                0.50449,                 0.3141,                  0.841,                0.99411,                0.98688,                 0.9948,                0.92739,                0.43272,                0.26574,                0.79373,               0.001307,               0.001307,               0.001307
                    142,                 0.4872,                0.31818,                0.83681,                0.99386,                0.99204,                0.99487,                 0.9272,                0.42548,                0.26646,                0.79324,               0.001302,               0.001302,               0.001302
                    143,                 0.4883,                  0.316,                0.84227,                0.99474,                0.99209,                0.99493,                0.92682,                0.42642,                0.26732,                0.79391,              0.0012971,              0.0012971,              0.0012971
                    144,                 0.5024,                 0.3253,                0.83959,                0.99604,                  0.993,                0.99493,                0.92924,                0.40349,                0.26716,                0.79143,              0.0012922,              0.0012922,              0.0012922
                    145,                0.51107,                0.32781,                0.84042,                0.99299,                0.99212,                0.99493,                0.93641,                0.40794,                0.26298,                0.79228,              0.0012872,              0.0012872,              0.0012872
                    146,                0.49296,                0.32188,                0.84381,                0.99604,                  0.993,                 0.9949,                0.94233,                0.38729,                 0.2562,                 0.7896,              0.0012822,              0.0012822,              0.0012822
                    147,                0.46169,                0.30506,                 0.8471,                0.99474,                0.99245,                0.99494,                 0.9317,                0.41689,                0.26473,                0.79269,              0.0012773,              0.0012773,              0.0012773
